,평균 버스 이용량 (명),1~2인가구,3인 가구 이상,30~59세 인구,비만도 분포,가구,수요,인프라,경제,value,매장명,target
13,0.030076112,0.260342913,1.324107684,-0.699972264,-0.750018311,0.332471397,0.112622664,-0.03473461,1.77114937,1.575,집밥뚝딱 방이역점,0
14,-0.587640767,-0.256074707,-0.242022923,0.36864807,-0.600464128,0.766777164,-0.239062299,0.148889755,0.594948725,2.115384615,집밥뚝딱 자양점,1
15,-0.734860137,-0.905998018,-1.330088423,-0.39583558,-0.376132855,1.107847514,-0.764068214,-1.506880522,-1.245362189,2.031055901,집밥뚝딱 장위뉴타운점,1
16,2.013511619,0.942542325,3.1744066,-0.383578821,0.184695329,-2.788849632,-0.039392659,-0.68540624,0.657061991,1.772151899,집밥뚝딱 은평뉴타운점,1
17,1.741106181,0.758861967,-0.720622181,-1.024522792,0.782912058,0.731438279,2.749945769,0.349899622,-0.421207074,2.074626866,집밥뚝딱 서울안암오거리점,1
18,2.752215548,0.209287989,-0.821576712,-1.262008066,-1.123903767,-0.371698986,2.615684053,0.634128556,3.057798344,1.657142857,집밥뚝딱 용산해링턴스퀘어점,0
19,0.577009565,1.735654157,1.435745234,-0.558131976,0.184695329,3.260119153,0.462490308,2.003527056,0.288488834,1.451923077,집밥뚝딱 역촌점,0
20,-0.614380659,0.053482446,0.265420486,-0.036416686,-0.114413036,-2.138088393,-0.804203558,-0.282871912,-0.615949927,1.76744186,집밥뚝딱 그랑빌점,1
21,1.325426604,0.858624462,1.075727489,-0.711510524,-0.376132855,-0.263141002,1.2534138,0.297891197,0.2875161,1.941176471,집밥뚝딱 종암점,1
22,-0.4410674,-0.481127158,-1.734440698,-1.206810385,-1.086515221,0.559553346,0.573007173,0.287135373,-0.836493983,1.518518519,집밥뚝딱 용답점,0
23,-0.664515072,-0.531595244,0.452907472,0.265733558,0.184695329,-0.730052649,-0.845132972,-0.880392473,-0.159004088,1.256410256,집밥뚝딱 응암점,0
24,-0.833444742,-0.679185052,-0.321077265,-1.267164358,-1.273457949,-0.606370432,0.369011011,1.761347175,0.891536261,1.574074074,집밥뚝딱 마포용강점,0
25,3.136840859,2.258820416,1.246121644,0.769359563,-0.151801581,-0.05586982,1.159803428,0.284710672,0.571363806,1.454545455,집어가 숭실대점,0
26,1.325426604,0.858624462,1.075727489,-0.711510524,-0.376132855,-0.263141002,1.2534138,-0.017806879,0.2875161,1.649122807,집어가 종암점,0
27,-0.836790112,-0.899836217,-0.455683306,-0.133371877,-0.787406856,0.499744196,-0.277401278,0.546874791,0.253029429,1.287878788,집어가 성내점,0
28,0.075411648,-0.973484411,-0.157092921,-0.325084495,-0.376132855,-0.578554744,-0.848529814,0.537589554,0.171871435,1.924242424,집어가 길음점,1
29,-0.997252534,-0.436234036,-0.516576515,2.964376058,0.147306783,0.410131943,-0.755864724,0.281556892,-0.503129,1.234042553,집어가 우장산역점,0
30,-0.491478672,0.09133351,0.175148975,-0.312996795,0.782912058,-0.877369927,0.327745632,0.198927494,0.395530036,1.622222222,집어가 답십리점,0
31,-0.509958959,-0.072394349,-1.127111059,-1.077480445,0.109918238,0.663301255,-0.814106443,0.277070057,-0.132685781,1,집어가 관악남현점,0
32,-0.19821658,-0.616686783,-0.83760124,-0.047785887,1.642848607,0.573767412,-0.787337906,0.008752283,-1.125415085,1.333333333,집어가 쌍문점,0
33,-0.472375453,-0.474378519,0.088616519,-0.884584415,-1.086515221,-1.463658878,-0.490385999,-1.49390678,0.395871889,1.648648649,식사준비 옥수점,0
34,0.449008773,0.684333515,1.721515996,0.013666968,-0.114413036,-1.322688462,0.571929114,0.005829361,0.486328184,2.657657658,식사준비 화랑대역점,1
35,-0.446281564,0.510335988,-0.831191429,-0.580785848,-0.450909946,0.118596961,0.184932509,-0.625988059,-0.985638644,2.045045045,식사준비 오류동역점,1
